Death_cause,category
Assassination,violent
"['Stoning', 'Stabbing']",violent
Lung cancer,natural
Myocardial infarction,natural
Suicide,suicide
Colgan Air Flight 3407,natural
Plasmodium falciparum,natural
Colitis,natural
Shooting,violent
"['Ministry of Intelligence', 'Assassination']",violent
Cardiac arrest,natural
Death by natural causes,natural
Chronic obstructive pulmonary disease,natural
Myasthenia gravis,natural
Cancer,natural
Coronary occlusion,natural
Leukemia,natural
"['Brain tumor', 'Oregon Ballot Measure 16 (1994)']",suicide
Myeloid leukemia,natural
Stomach cancer,natural
Sicilian Mafia,violent
Hunger strike,suicide
Asphyxia,violent
AIDS,natural
Yellow fever,natural
Cardiovascular disease,natural
Hanging,violent
NKVD,violent
Capital punishment,violent
Execution-style murder,violent
Drowning,natural
2010 Haiti earthquake,natural
Breast cancer,natural
Alzheimer's disease,natural
Head injury,violent
Bright's disease,natural
Systemic lupus erythematosus,natural
Acute lymphoblastic leukemia,natural
Cholera,natural
Murder,violent
Execution by firing squad,violent
Brain tumor,natural
Typhoid fever,natural
Coronary thrombosis,natural
Amyotrophic lateral sclerosis,natural
Pancreatic cancer,natural
Colorectal cancer,natural
Heart failure,natural
1918 flu pandemic,natural
Traumatic brain injury,violent
Hafte Tir bombing,violent
Pernicious anemia,natural
Tuberculosis,natural
Killed in action,violent
Austria-Hungary,violent
Starvation,violent
Apoplexy,natural
Canadian Pacific Railway,violent
Acute respiratory distress syndrome,natural
Pneumonia,natural
Assisted suicide,suicide
Canal Hotel bombing,violent
Exsanguination,violent
Fear,violent
Homicide,violent
Leprosy,natural
Liver cancer,natural
Respiratory disease,natural
Tawhid al-Jihad (Gaza Strip),violent
The Holocaust,violent
Respiratory failure,natural
