Death_cause,category
Myocardial infarction,natural
Cancer,natural
Stroke,natural
Assassination,violent
Drowning,natural
Stoning,violent
Myocarditis,natural
Lung cancer,natural
Execution by firing squad,violent
2008 Mumbai attacks,violent
Cardiovascular disease,natural
Capital punishment,violent
Brain tumor,natural
Ovarian cancer,natural
Uterine cancer,natural
Falling (accident),natural
Bladder cancer,natural
Abscess,natural
Hanging,violent
Suicide,suicide
Iranian Armenians,natural
Bright's disease,natural
Burkitt's lymphoma,natural
LOT Polish Airlines Flight 165,natural
Heart failure,natural
Ballistic trauma,natural
Bone tumor,natural
The Holocaust,violent
Pneumonia,natural
Aviation accidents and incidents,natural
Death by natural causes,natural
ISIL beheading incidents,violent
Accident,natural
Colgan Air Flight 3407,natural
Malaria,natural
Leukemia,natural
Renal failure,natural
Asthma,natural
Suicide by hanging, suicide
Plasmodium falciparum,natural
AGM-114 Hellfire,violent
Diabetes mellitus,natural
Cirrhosis,natural
Colorectal cancer,natural
Melanoma,natural
Pancreatic cancer,natural
Traffic collision,natural
Colitis,natural
Cerebral hemorrhage,natural
Tumors of the hematopoietic and lymphoid tissues,natural
Shooting,violent
Prostate cancer,natural
Liver failure,natural
Cholera,natural
French Armed Forces,violent
Ministry of Intelligence,violent
Cardiac arrest,natural
Suicide attack,violent
Gunshot,violent
1918 flu pandemic,natural
Homicide,violent
Breast cancer,natural
Airstrike,violent
Alzheimer's disease,natural
Chronic obstructive pulmonary disease,natural
Murder,violent
Cerebral infarction,natural
Tuberculosis,natural
Amyotrophic lateral sclerosis,natural
Myasthenia gravis,natural
Liver cancer,natural
Typhoid fever,natural
Hematology,natural
Respiratory failure,natural
Pernicious anemia,natural
One World Trade Center,violent
Parkinson's disease,natural
Coronary occlusion,natural
Acute myeloid leukemia,natural
Apoplexy,natural
Arteriosclerosis,natural
Bronchomalacia,natural
Brain injury,natural
Pulmonary embolism,natural
Embolism,natural
Shotgun shell,violent
Carriage,natural
Myeloid leukemia,natural
Seppuku,suicide
Complication (medicine),natural
Yellow fever,natural
Pick's disease,natural
Stomach cancer,natural
Intracranial aneurysm,natural
World Trade Center site,violent
Meningitis,natural
Heroin,suicide
Diabetic ketoacidosis,natural
Sicilian Mafia,violent
Smallpox,natural
Plague (disease),natural
Appendicitis,natural
Hunger strike,suicide
Pulmonary fibrosis,natural
Skin cancer,natural
Lymphoma,natural
Staphylococcus,natural
Multiple system atrophy,natural
Respiratory disease,natural
Aneurysm,natural
Progressive supranuclear palsy,natural
Ammunition,violent
New South Wales Police Force,violent
Asphyxia,natural
Vehicular homicide,violent
Kidney disease,natural
Leiomyosarcoma,natural
Coronary artery bypass surgery,natural
Infection,natural
Head and neck cancer,natural
Schießbefehl,violent
Scarlet fever,natural
AIDS,natural
Organ dysfunction,natural
Pancreatitis,natural
Dysentery,natural
Military Police (Brazil),violent
Disease,natural
Hanged drawn and quartered,violent
Friendly fire,violent
Battle of Tiro,violent
Strangling,violent
Pulmonary hemorrhage,natural	
Lower respiratory tract infection,natural
Republikflucht,violent
Angina pectoris,natural
Dementia with Lewy bodies,natural
Decapitation,violent
Gas chamber,violent
Dengue_disease,natural
Jaundice,natural
Hypothermia,natural
Improvised explosive device,violent
Lung,natural
Cystic fibrosis,natural
NKVD,violent
Central Intelligence Agency,violent
Nine familial exterminations,violent
Martyr,violent
Death,violent
Dyspnea,natural
Killed in action,violent
Execution-style murder,violent
Fox hunting,natural
Pleurisy,natural
Methadone,suicide
Henriette Caillaux,violent
Multiple myeloma,natural
Bronchitis,natural
Influenza,natural
Multiple organ dysfunction syndrome,natural
Shock (circulatory),natural
Snakebite,natural
Mercury poisoning,natural
2010 Haiti earthquake,natural
Nazism,violent
Politics of Syria,violent
Hypertension,natural
Pyelonephritis,natural
Milicja Obywatelska,violent
Collision,natural
Subarachnoid hemorrhage,natural
Esophageal cancer,natural
Extrajudicial killing,violent
Kidney cancer,natural
Myelodysplastic syndrome,natural
Hypertensive heart disease,natural
Fire,violent
Arthritis,natural
Suicide methods,suicide
Rheumatism,natural
Gout,natural
Enteritis,natural
Shootout,violent
Sniper,violent
Paralysis (disambiguation),natural
Head injury,natural
Exsanguination,violent
Perforated ulcer,natural
Liver disease,natural
Anorexia nervosa,suicide
Alcohol intoxication,suicide
Bubonic plague,natural
Blunt trauma,natural
Malignancy,natural
Driver deaths in motorsport,natural
Coronary artery disease,natural
Typhus,natural
Major trauma,natural
Systemic lupus erythematosus,natural
Opioid overdose,suicide
World Trade Center (1973–2001),violent
Fatigue (medical),natural
Acute lymphoblastic leukemia,natural
United Airlines Flight 93,natural
Lead poisoning,natural
Lynching,violent
Ankylosis,natural
Battle of the Somme,violent
Edema,natural
George Scarborough,violent
Tetanus,natural
Execution by shooting,violent
Hodgkin's lymphoma,natural
Aeroflot Flight 331,natural
Childbirth,natural
Battle of Mu'tah,violent
Scurvy,natural
Aortic aneurysm,natural
Honduras,violent
Primary progressive aphasia,natural
Electric chair,violent
Erysipelas,natural
Sepsis,natural
Lobar pneumonia,natural
2010 Cameroon Aéro Service CASA C-212 Aviocar crash,natural
Northwestern wolf,natural
Testicular cancer,natural
Old age,natural
Stabbing,violent
Coronary thrombosis,natural
Umayyad Caliphate,violent
Nephritis,natural
Assisted suicide,suicide
Liver tumor,natural
Iroquois,violent
Collapse of the World Trade Center,violent
Death by burning,violent
Lawrence Massacre,violent
William I de La Marck,violent
Pulmonary edema,natural
Robben Island,violent
Hepatocellular carcinoma,natural
Acute kidney injury,natural
Benghazi,violent
Hernia,natural
Drumhead court-martial,violent
Septic shock,natural
Urinary tract infection,natural
Aortic dissection,natural
Bacteremia,natural
Drive-by shooting,violent
Traumatic brain injury,violent
Adenoid cystic carcinoma,natural
Hafte Tir bombing,violent
Booby trap,violent
Allergy,natural
Fever,natural
Austria-Hungary,violent
Poison,violent
Armor-piercing shell,violent
Unmanned aerial vehicle,violent
Drug overdose,suicide
Thorax,natural
UPDF,violent
Peptic ulcer,natural
List of tenants in Two World Trade Center,violent
Starvation,suicide
Laryngeal cancer,natural
Epidemic typhus,natural
Thai people,violent
Scleroderma,natural
Mesothelioma,natural
Canadian Pacific Railway,violent
Angiosarcoma,natural
Gallbladder,natural
Idiopathic pulmonary fibrosis,natural
Acute respiratory distress syndrome,natural
Concussion,natural
Boiling liquid expanding vapor explosion,violent
Carcinoid,natural
Guillotine,natural
Peritonitis,natural
Allies of World War II,violent
Nervous system,natural
Osteosarcoma,natural
HIV,natural
Streptococcus pneumoniae,natural
Canal Hotel bombing,violent
Non-epileptic seizure,natural
Vascular disease,natural
Paolo Borsellino,violent
Laudanum,suicide
Barbiturate overdose,suicide
Oral cancer,natural
Armenian Genocide,violent
SFOR,violent
Single-vehicle crash,natural
Sokushinbutsu,suicide
Chronic fatigue syndrome,natural
Stingray injury,natural
Swine influenza,natural
Fear,violent
30 mm caliber,violent
Torture,violent
Metastatic breast cancer,natural
Tomahawk (axe),violent
Leprosy,natural
Jiang Qing,violent
Thyroid cancer,natural
Acute stress reaction,natural
Duel,violent
Ealdred II of Bamburgh,violent
Dhaka,violent
Manslaughter,violent
Cardiac surgery,natural
April 2009 Moldovan parliamentary election protests,violent
USS Sabalo (SP-225),violent
Sandy Hook Elementary School shooting,violent
Tawhid al-Jihad (Gaza Strip),violent
American Airlines Flight 1,natural
Ascites,natural
Battle of Bloody Bay,violent
Metastasis,natural
East Berlin,violent
United States Army,violent
