title,type,ontology/birthDate,ontology/deathDate,ontology/deathCause_label
A.V._Macan,Other,,,Myocardial infarction
A._Kenneth_Pye,Other,1931-08-21,1994-07-11,Cancer
A._Roy_Knabenshue,Other,1875-07-15,1960-03-06,Stroke
Amit_Jethwa,Activist,1975-12-31,2010-07-20,Assassination
Amit_Saigal,Artist,1965-07-06,2012-01-05,Drowning
Amparo_Arozamena,Artist,1916-08-24,2009-04-30,Myocardial infarction
Amy_Biehl,Activist,1967-04-26,1993-08-25,Stoning
Amy_Elizabeth_du_Pont,Other,1875-08-07,1962-02-16,Stroke
Andrea_Dworkin,Artist,1946-09-26,2005-04-09,Myocarditis
Andrea_Heinemann_Simon,Activist,1909-03-24,1994-02-15,Lung cancer
Andreas_Bronislaw_Wadeksloff_Nielsen,Other,1918-03-31,1945-02-27,Execution by firing squad
Andreas_Liveras,Businessperson,,2008-11-26,2008 Mumbai attacks
Andrew_Arbuckle_(actor),Artist,1887-09-05,1938-09-21,Myocardial infarction
Andrew_Kayiira,Politician,1945-01-30,1987-03-09,Assassination
Andrew_Miller_(publisher),Other,,1919-12-31,Cardiovascular disease
Andrij_Savka,Other,1619-12-13,,Capital punishment
Andrzej_Butkiewicz,Activist,,2008-03-07,Myocardial infarction
André_Laguerre,Artist,"['1915-02-21', '1915-06-07']",1979-01-18,Myocardial infarction
Angela_D'Audney,Other,1944-08-26,2002-02-06,Brain tumor
Anita_Morris,Artist,1943-03-14,1994-03-02,Ovarian cancer
Ann_Carter,Artist,1936-06-16,2014-01-27,Ovarian cancer
Ann_Christy,Artist,1905-05-31,1987-11-14,Myocardial infarction
Ann_Dunham,Other,1942-11-29,1995-11-07,Uterine cancer
Ann_Mara,Other,1929-06-18,2015-02-01,Falling (accident)
Ann_Marcus,Artist,1921-08-22,2014-12-03,Bladder cancer
Ann_Pudeator,Other,,1692-10-02,Capital punishment
Ann_Tyrrell,Artist,1909-02-06,1983-07-20,Myocardial infarction
Anna_Blythe_Speas,Other,,1898-07-06,Abscess
Anna_Lizaran,Artist,1944-08-31,"['2013-01-12', '2013-01-13']",Cancer
Anna_Maria_Calhoun_Clemson,Other,1817-02-13,1875-09-22,Myocardial infarction
Annalena_Tonelli,Activist,1943-04-02,2003-10-05,Assassination
Anne_Turner_(murderer),Other,1576-01-05,1615-11-15,Hanging
Annie_St_John,Other,1954-09-08,,Suicide
Annik_Shefrazian,Artist,,,Iranian Armenians
Anthony_Allaire,Other,1829-02-17,1903-08-09,Bright's disease
Anthony_Dexter,Artist,1913-01-19,2001-03-27,Stroke
Anthony_Peck_(actor),Artist,1947-03-20,1996-07-30,Cancer
Anthony_Ross,Artist,1909-02-23,1955-10-26,Myocardial infarction
Anthony_Yeo,Other,,2009-06-20,Burkitt's lymphoma
Anton_Kaufman,Other,1883-01-01,1943-01-01,Suicide
Antoni_Naumczyk,Other,,1969-04-02,LOT Polish Airlines Flight 165
Albert_A._Bühlmann,Other,1923-05-16,1994-03-04,Heart failure
Albert_Carlo_Iversen,Other,1895-09-28,1944-06-29,Ballistic trauma
Albert_Vögler,Politician,1877-02-08,1945-04-14,Suicide
Alberta_Gay,Artist,1913-01-01,1987-05-09,Bone tumor
Aleksandar_Savić,Other,,,The Holocaust
Aleksei_Smirnov_(actor),Artist,1920-02-28,1979-05-07,Cardiovascular disease
Alex_Grass,Businessperson,1927-08-03,2009-08-27,Lung cancer
Alex_Macdonald_(trade_unionist),Other,1910-05-21,1969-08-18,Myocardial infarction
Alexander_Calvit,Other,1784-06-17,1836-01-07,Pneumonia
Alexander_Gauge,Artist,1914-07-29,1960-08-29,Suicide
"Alexander_Pearson,_Jr.",Other,1895-11-12,1924-09-02,Aviation accidents and incidents
Alexander_S._Williams,Other,1839-07-09,1917-03-25,Death by natural causes
Alexander_Zeisal_Bielski,Other,1912-10-19,"['1995-07-18', '1995-08-18']",Myocardial infarction
Alfred_M._Boyce,Other,1901-05-02,1997-07-11,Cancer
Alfred_Müller_(entrepreneur),Businessperson,,,The Holocaust
Ali_al-Sayyed,Other,1985-07-15,2014-08-28,ISIL beheading incidents
Alice_Fisher_(nurse),Other,1839-06-13,1888-06-02,Cardiovascular disease
Alice_Rich_Northrop,Other,1863-03-06,1922-05-06,Accident
Alice_Vickery,Other,,1929-01-12,Pneumonia
Alison_Des_Forges,Activist,1942-08-20,2009-02-12,Colgan Air Flight 3407
Allegra_Byron,Other,1817-01-12,1822-04-20,Malaria
Alma_Muriel,Artist,1951-10-20,2014-01-05,Myocardial infarction
Alonzo_Fields,Other,,,Leukemia
Alpheus_George_Barnes_Stonehouse,Other,1862-09-01,1931-07-25,Pneumonia
Alvin_P._Shapiro,Other,1920-12-28,1998-11-21,Renal failure
Alvina_Krause,Other,1893-01-28,1981-12-31,Heart failure
Amadeu_Vives_i_Roig,Artist,1871-11-18,1932-12-02,Asthma
Ambrose_Olsen,Other,1985-11-27,2010-04-22,Suicide by hanging
Anuradha_Ghandy,Politician,,2008-04-12,Plasmodium falciparum
Anwar_al-Awlaki,Other,"['1971-04-21', '1971-04-22']",2011-09-30,AGM-114 Hellfire
Ara_Gallant,Other,,,Suicide
Arabella_Arbenz,Other,1940-01-15,1965-10-05,Suicide
Arch_Johnson,Artist,1922-03-14,1997-10-09,Cancer
Archibald_Gracie_IV,Artist,1858-01-15,1912-12-04,Diabetes mellitus
Arend_Langenberg,Artist,1949-01-19,2012-12-30,Cancer
Ariadna_Welter,Artist,1930-06-29,1998-12-13,Cirrhosis
